"","model_id","sample_id","patient_id","parent_id","model_name","synonyms","tissue","cancer_type","cancer_type_ncit_id","tissue_status","sample_site","cancer_type_detail","model_type","growth_properties","model_treatment","sampling_day","sampling_month","sampling_year","doi","pmed","msi_status","ploidy_snp6","ploidy_wes","ploidy_wgs","mutational_burden","model_comments","model_relations_comment","COSMIC_ID","BROAD_ID","CCLE_ID","RRID","HCMI","suppliers","supplier","cat_number","species","gender","ethnicity","age_at_sampling","family_history_of_cancer","prior_same_malignancy","prior_other_malignancy","smoking_status","alcohol_exposure_intensity","alcohol_consumption_per_week","history_diabetes","diabetes_treatment","colorectal_cancer_risk_factors","patient_history_of_gastrointestinal_disorder","gastrointestinal_disorder_diagnosed","prior_synchronous_colon_rectal_tumours","history_prior_colon_polyps","previous_current_barretts_oesophagus","reflux_disease_prior","reflux_disease_treatment","h_pylori_infection","history_clinical_chronic_pancreatitis","tumour_grade","tnm_integrated","tnm_t","tnm_n","tnm_m","clinical_staging","metastasis_at_diagnosis","metastatic_site_at_diagnosis","method_procurement","sample_treatment","sample_treatment_details","radiation_type","prior_therapy_outcome","tumour_regression_score","colon_polyps_present_at_time_of_tissue_collection","venous_invasion_present","venous_invasion_type","lymphatic_invasion_present","perineural_invasion_present","gastric_oesophageal_junction","barretts_goblet_cells_present","oesophageal_columnar_metaplasia","goblet_cells_oesophageal_columnar_mucosa","degree_of_dysplasia_non_cancerous_oesophageal_columnar_mucosa","peripancreatic_lymph_nodes_tested_surgery","number_positive_peripancreatic_lymph_nodes","mlh1_expression_by_ihc","mlh1_promoter_methylation_status","msh2_expression_by_ihc","pms2_expression_by_ihc","msh6_expression_by_ihc","braf_mutation_identified","braf_expression_by_ihc","pik3ca_mutation_identified","pten_expression_by_ihc","pten_mutation_identified","kras_mutation_identified","mismatch_repair_status","preoperative_ce_alevel","crispr_ko_data"
"1859","SIDM01156","SIDS00390","SIDP00334","","SW1271","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Adherent","","None","None","1976","",NA,"MSS",2.658150732,2.88555214583325,NA,87.39,"","","1299062","ACH-000890","SW1271_LUNG","CVCL_1716","","ATCC:CRL-2177","ATCC","CRL-2177","Homo sapiens","Male","White","69.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1864","SIDM00758","SIDS00259","SIDP00215","","NCIH1993","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Lymph node","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",4.194214793,4.110363554131,NA,65.26,"","NCI-H1993 and NCI-H2073 were derived from the same patient (ATCC).","908476","ACH-001137","NCIH1993_LUNG","CVCL_1512","","ATCC:CRL-5909","ATCC","CRL-5909","Homo sapiens","Female","White","47.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1865","SIDM00702","SIDS00277","SIDP00228","","NCIH2122","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Pleural effusion","Lung Adenocarcinoma","Cell Line","Adherent","","None","1","1989","",NA,"MSS",2.471449922,2.4619968274285,NA,29.21,"","NCI-BL2122 is a lymphoblastoid line from the same patient as NCI-H2122 (ATCC).","722046","ACH-000311","NCIH2122_LUNG","CVCL_1531","","ATCC:CRL-5985","ATCC","CRL-5985","Homo sapiens","Female","White","46.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1866","SIDM00700","SIDS00279","SIDP00229","","NCIH2135","","Lung","Non-Small Cell Lung Carcinoma","C2926","Tumour","Unknown","Non-Small Cell Lung Carcinoma","Cell Line","Adherent","","None","2","1989","",NA,"MSS",3.684066061,4.02500433197998,NA,93.87,"","","1298352","ACH-001363","NCIH2135_LUNG","CVCL_1533","","ATCC:CRL-5926","ATCC","CRL-5926","Homo sapiens","Unknown","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1867","SIDM00144","SIDS00841","SIDP00750","","NCIH460","NCI-HUT-460;NCI-460","Lung","Non-Small Cell Lung Carcinoma","C4450","Metastasis","Pleural Effusion","Large Cell Lung Carcinoma","Cell Line","Adherent","","None","None","1982","",NA,"MSS",2.535303751,2.51172111872651,NA,37.47,"","","905943","ACH-000463","NCIH460_LUNG","CVCL_0459","","NCI:NCI-H460","NCI","NCI-H460","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1876","SIDM01108","SIDS00364","SIDP00309","","SKLU1","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",3.702383258,3.93637183345676,NA,58.39,"","","909721","ACH-000309","SKLU1_LUNG","CVCL_0629","","ATCC:HTB-57","ATCC","HTB-57","Homo sapiens","Female","White","60.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1962","SIDM00345","SIDS01096","SIDP00985","","LCLC103H","","Lung","Non-Small Cell Lung Carcinoma","C4450","Metastasis","Pleural effusion","Large Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",3.913975367,4.7581619543264,NA,48.82,"","","753586","ACH-000627","LCLC103H_LUNG","CVCL_1375","","DSMZ:ACC-384","DSMZ","ACC-384","Homo sapiens","Male","White","61.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy;Radiotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"2006","SIDM00368","SIDS01056","SIDP00948","","SBC5","","Lung","Small Cell Lung Carcinoma","C4917","Unknown","Unknown","Small Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.919368599,2.98653136991317,NA,50.55,"","","713880","ACH-000670","SBC5_LUNG","CVCL_1679","","JCRB:JCRB0819","JCRB","JCRB0819","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"2080","SIDM00737","SIDS00242","SIDP00201","","NCIH1770","","Lung","Non-Small Cell Lung Carcinoma","C2926","Metastasis","Lymph node","Non-Small Cell Lung Carcinoma","Cell Line","Suspension","","None","11","1987","",NA,"MSS",2.702144346,2.94564169832143,NA,126.29,"","NCI-BL1770 is a lymphoblastoid line established from the same patient as NCI-H1770 (ATCC).","687804","ACH-001362","NCIH1770_LUNG","CVCL_1493","","ATCC:CRL-5893","ATCC","CRL-5893","Homo sapiens","Male","White","57.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"2086","SIDM00509","SIDS00894","SIDP00797","","CORL311","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",4.326234901,5.17134954862135,NA,23.74,"","","687980","ACH-000187","CORL311_LUNG","CVCL_2412","","ECACC:96020721","ECACC","96020721","Homo sapiens","Male","Unknown","63.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy","3 cycles of chemotherapy treatment with eroposide, colchicine, methotrexate and vincristine","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
